D2C1EDFC-9084-3FF2-B737-565E67FA59C9
1) 79419598D0733AA9BC988F218BB762, 50p, 30j (13-11-6), 19s (65-46)
6) 22416A4FDFD0320398E0C404C70492, 142p, 105j (39-25-41), -5s (220-225)
7) F3717574C088370E988748A71EAC23, 140p, 106j (41-17-48), -17s (201-218)
8) 2718C0F921F334289BEA7F70ED1878, 140p, 98j (40-20-38), 12s (200-188)
9) 057D1FF43D983B788FAB8C4D891C9D, 129p, 104j (36-21-47), -32s (206-238)
10) 5DEBDD8DD5563039A30F4DF9113C33, 126p, 89j (36-18-35), -9s (162-171)
11) B154F42A222136CD84389D3DC0F18F, 120p, 84j (35-15-34), -2s (162-164)
12) 0802DAAC092F35DBA40DC59B3AA28F, 118p, 90j (31-25-34), 8s (168-160)
13) 704A9A808A573808897B9AC574DF3B, 105p, 87j (30-15-42), -26s (164-190)

5755E751-9BA7-3DD1-84CB-3B448756E106
1) 498D4B5833153482AA52C7B27D11FD, 81p, 47j (23-12-12), 14s (92-78)
2) 2CC83F6995793E3E93B9B443EA0B34, 70p, 50j (20-10-20), -4s (109-113)
3) 4A79D5FDB7DF31C78E24B61023658C, 69p, 41j (21-6-14), 26s (102-76)
4) C291B828D42F3C04AC9E0512E0DBD4, 69p, 43j (20-9-14), 9s (89-80)
5) 1B0B017EC59B34F48AE162CFBA817F, 65p, 36j (19-8-9), 14s (74-60)
6) 93A874F9ECA23D029E79DF73B43E05, 65p, 50j (18-11-21), -8s (90-98)
7) 35A9569004C0314C9F2E761FD86560, 58p, 36j (17-7-12), 18s (72-54)
8) BD373107F4D332E99D2E93D46981E1, 55p, 36j (17-4-15), 6s (81-75)
9) 3873CFAE08B2340EBB777DAFE2B458, 48p, 46j (13-9-24), -32s (75-107)
10) 1D5A326CB4B43EB28819F8D56FD2F0, 47p, 36j (14-5-17), -9s (59-68)
11) C5C62D0704A532F5A6C1BE6FEF19C8, 46p, 36j (14-4-18), 3s (71-68)
12) 9D45B8EBD4473BEF8EE29564677BB3, 45p, 43j (13-6-24), -21s (72-93)
13) F28054DBD37137078DB942B8FAC2C2, 43p, 37j (12-7-18), -7s (65-72)
14) 5011CD5AF40F305B9E72D717944C0B, 34p, 23j (10-4-9), -1s (42-43)
15) 55D83BEC3C893CA484DB84AF33CBD0, 28p, 24j (8-4-12), -8s (41-49)

685C3139-F1F3-3EAF-9966-E16F972CB720
1) DBC538745C9433A3850B201FB86B1C, 182p, 117j (54-20-43), 6s (245-239)
2) 3ECD02838C5F33479259D945EDDD53, 157p, 107j (49-10-48), 3s (199-196)
3) 4CBF36B0426D3F5BB7FCF5BA6DDCB3, 157p, 100j (45-22-33), 42s (214-172)
4) 4A29A8E0CC463690B7ADEA4CE7E966, 146p, 97j (45-11-41), 14s (208-194)
5) FBDCC47A73323A1287547468B6CC80, 127p, 97j (38-13-46), -23s (175-198)
6) 4E9812AF36F1358EB14209F09F3E8A, 92p, 84j (28-8-48), -42s (149-191)

94CE9123-5616-3880-B2F2-4A3D98002824
1) AA5F67AFE5073624A894C3AFC15752, 501p, 350j (144-69-137), 24s (733-709)
2) 265BBE666BC131C28D7001599D79A4, 497p, 328j (147-56-125), 68s (692-624)
3) 27D53A402DFE3A39915F1E199F0CBB, 461p, 342j (130-71-141), -8s (692-700)
4) 842ABA09D50A35328CDB3A5504C05B, 456p, 321j (130-66-125), -13s (653-666)
5) C12476427B6B37E39B9930580A71CE, 453p, 313j (133-54-126), 7s (649-642)
6) A8593CE4761F378EB10543BE7DBBB0, 394p, 318j (106-76-136), -78s (601-679)

B7B6F228-86B4-39EF-A843-D4F2A4BA69D7
1) 098031958DD83CB7BFE164734EA66D, 289p, 197j (82-43-72), 12s (415-403)
2) 212CAEE1DF3E3C6B8DE39BFBC012BF, 287p, 202j (82-41-79), -3s (401-404)
3) A75FF3B8D09B3D1E967FC59AEDD674, 284p, 190j (82-38-70), 23s (366-343)
4) CED3ABEB6CC3377589B24C3791CFCD, 280p, 196j (82-34-80), 20s (409-389)
5) BF554EC30B233C608830FF6650668C, 267p, 193j (74-45-74), -2s (394-396)
6) 211DAE08144B382FBB20C189F1F32B, 251p, 167j (73-32-62), 18s (351-333)
7) C4EF4B74B41834399A85FABD19A5A9, 241p, 178j (69-34-75), -22s (350-372)
8) 69CDC90C22733E70AB1D199A3A10CF, 239p, 176j (68-35-73), -8s (351-359)
9) C10E5FDB0DE03B5FA73FA722FFEDE1, 186p, 161j (52-30-79), -38s (327-365)

DEB8C0D9-C8E2-3FF2-8FB3-6BBE0262B99C
1) A2DAB01E6E2A393689FED4491BDB2F, 109p, 68j (32-13-23), 19s (153-134)
2) 27D50309548732DD8331C2A3BCA360, 102p, 64j (30-12-22), 23s (141-118)
3) 3CDE7CE6DCFB3464BF9CF6E376E676, 101p, 55j (28-17-10), 27s (123-96)
4) 5A9A91766E673EE2BD7D6BD1442753, 98p, 59j (29-11-19), 14s (119-105)
5) 74EFBF49B8C73A8BBD1DF00E330EB6, 93p, 58j (28-9-21), 22s (128-106)
6) 973445D50ECC345BBB61EB37B87531, 92p, 60j (27-11-22), 13s (124-111)
7) CAA5FC0BA5AE31CFAE19089D1FFF64, 90p, 65j (25-15-25), -9s (139-148)
8) 79F52B42CB093BE59F7CA48B150D79, 83p, 62j (23-14-25), 1s (120-119)
9) 0CCD75D4D61D3533A20F9A5BA9E1E0, 80p, 59j (23-11-25), -13s (105-118)
10) 599114217CA733E891CAC30E86A904, 76p, 54j (21-13-20), -2s (117-119)
11) 0331230339883851823E4F7B430DA9, 74p, 62j (21-11-30), -23s (108-131)
12) 515C27A40C2D37B2A448F0C9655E08, 72p, 63j (19-15-29), -4s (126-130)
13) 2A198181C0463B85B6A782D0BB57B1, 66p, 54j (19-9-26), -21s (93-114)
14) 63020D4B771033CF8A52C84F99D5AA, 65p, 61j (19-8-34), -19s (119-138)
15) 5D5DD6766C303D6ABCCB8F14BA00BF, 57p, 54j (16-9-29), -28s (110-138)

5C9CA94B-0F97-3766-941D-ED9E922B447E
1) 062C15D55BF63078AEDB556BCCE206, 132p, 74j (39-15-20), 36s (171-135)
2) F104F375750632D3B6CCAE620A099A, 119p, 82j (36-11-35), -9s (163-172)
3) 464330E4EA323B48A9241C54D33726, 113p, 70j (34-11-25), 7s (153-146)
4) 7065089143CE308488D41236F6648B, 112p, 68j (33-13-22), 24s (154-130)
5) 156FC07C87173EAC98E1326DE1022F, 110p, 80j (30-20-30), 18s (183-165)
6) F5EE8A47438B37078D6F00DD7802D9, 106p, 64j (32-10-22), 9s (137-128)
7) 7B1C9EB05938355F8998687DFA8A11, 105p, 69j (28-21-20), 28s (165-137)
8) B16B8C08E6243324AB564F54413D5F, 104p, 68j (32-8-28), -2s (135-137)
9) A9457DB56C643BDC90CE484F8C92C0, 100p, 70j (28-16-26), 1s (141-140)
10) B8238D094F82313EB02CFC707C13F6, 99p, 65j (30-9-26), -2s (134-136)
11) 5D311434FCD4360585920A0F2BF1D2, 99p, 73j (30-9-34), -4s (150-154)
12) EE798595849235009030E317D194B6, 96p, 77j (24-24-29), -6s (150-156)
13) D4489DCFA3753DED8EAEA55C9275F8, 90p, 58j (26-12-20), 19s (123-104)
14) 16A2B2048D15354D8EDD04134DCD1A, 90p, 65j (26-12-27), -4s (145-149)
15) AC2E72F440D43C14A4A751F95A6010, 85p, 61j (23-16-22), 4s (127-123)
16) 2F792C3C02BE3AA9ADAC3729EE67BE, 84p, 52j (25-9-18), 22s (118-96)
17) A1CEF89ADE0C3F7492BE52914389B5, 83p, 65j (24-11-30), -10s (130-140)
18) 3F8D5AED95D7331982A471CD453D5B, 81p, 56j (24-9-23), 7s (129-122)
19) 206F201B549D393C930114FE317BF8, 78p, 67j (22-12-33), -17s (119-136)
20) B741989AAB9B3D2892EA0E138BB1AE, 75p, 64j (23-6-35), -33s (124-157)
21) D5B63B6480DB3BE09EC6080CAB97E6, 74p, 51j (19-17-15), 4s (102-98)
22) 63488F94CE7A39FBB4DD6BC75A7F46, 66p, 62j (16-18-28), -10s (124-134)
23) BE37297997F13DF98C3529C81900EA, 65p, 63j (15-20-28), -29s (107-136)
24) 1996E54AB3F63DF7B8B375374AB7EE, 61p, 58j (16-13-29), -25s (107-132)
25) 7D2A7A9FD3B83CB6A1C58354FD03CC, 59p, 52j (17-8-27), -28s (96-124)

01092B5B-994F-3D98-AF1F-596BBCBD3A57
1) BFC88A72C67532D490738A0938DB82, 121p, 79j (35-16-28), -3s (163-166)
2) 0DD1274754533A858B068795444E57, 120p, 78j (35-15-28), 32s (164-132)
3) D8E3E33FF5863551A9BAB534A712E6, 114p, 81j (31-21-29), 17s (173-156)
4) BB00892C1D2930979E4EF846A364AF, 113p, 66j (32-17-17), 33s (147-114)
5) E913A31EEAB93025B4C06BD6A9D992, 113p, 79j (32-17-30), 4s (163-159)
6) 5C6C4EBA549437979182772877635D, 110p, 73j (31-17-25), 14s (131-117)
7) D0F7BDD7BF9F3DADBCF52A63715319, 107p, 74j (31-14-29), 6s (156-150)
8) 1E64BAAEE8DD397194BC319150F61F, 107p, 80j (30-17-33), -10s (162-172)
9) 2CAB57494CD43D36BA0440C25EB422, 105p, 67j (31-12-24), 24s (151-127)
10) FDCA482C06493CDE86C7AC5F7452AC, 104p, 73j (29-17-27), 4s (149-145)
11) F973D9420FD336D89D295530B3D99D, 100p, 60j (29-13-18), 25s (137-112)
12) AD2135794A543144871DC97FB39C27, 100p, 68j (29-13-26), 3s (134-131)
13) DED0B194A8FC35F5B1D7ECABE0B966, 100p, 73j (29-13-31), -2s (165-167)
14) F540365C591F3F28844B6ACF7D870B, 97p, 71j (28-13-30), -8s (121-129)
15) 41B191FB09C43BC5AF42ABCEF9FE08, 97p, 71j (27-16-28), -8s (149-157)
16) EEF98A3DD7203F5EBED8ABE944CBF6, 94p, 65j (27-13-25), -10s (121-131)
17) 35976DDE79EF3AB08DBB83F49B068D, 93p, 64j (27-12-25), -3s (129-132)
18) 3F8C0AECDBD6365F86CB5AD91FBE40, 89p, 72j (24-17-31), -25s (144-169)
19) 8E767AB7C8503B918A8F25450AA3F9, 88p, 59j (26-10-23), -3s (103-106)
20) 94AC7616F831361B8AC595A38F3F48, 80p, 66j (23-11-32), -11s (130-141)
21) 4D8F016AB5433E829A16ECA660DF6B, 77p, 60j (22-11-27), -15s (112-127)
22) 55E99B5E2CC034E8AF3510E3EF388E, 75p, 62j (19-18-25), -7s (123-130)
23) 0D8DB7733C433298BDB495C3977A87, 71p, 54j (20-11-23), 0s (119-119)
24) B6CA2F7DC7BB370AAD88E99B5D7FE5, 70p, 53j (19-13-21), 7s (100-93)
25) DA7AA28D25E33873862F227EE5E812, 62p, 58j (17-11-30), -41s (81-122)
26) 5A9A21F9320537628C3F93E6994527, 56p, 60j (14-14-32), -23s (98-121)

263BB4DE-AF7D-37B1-8712-A7DD10AA4225
1) 4FBD0F0D58E63AA5A729E1619FCCBF, 65p, 33j (20-5-8), 24s (78-54)
2) 7E4DC9DD65CE3CB8B7319FB71820D4, 57p, 29j (18-3-8), 19s (59-40)
3) CA6B70551D6E3D0A8292C204F83E61, 46p, 29j (13-7-9), -5s (53-58)
4) D40EDE53BA6D391C8C3E5E4272DC98, 46p, 31j (12-10-9), 13s (66-53)
5) AC64AE4A7F533F409F4B54343AC032, 44p, 34j (13-5-16), -4s (66-70)
6) 871536CE461B3CEFBF3E88D2D84DEA, 42p, 31j (11-9-11), 7s (66-59)
7) A8511C49267535208E6709D3B118C1, 40p, 25j (12-4-9), 10s (46-36)
8) A4EE1F79072D31BBB89B72B9F2E19D, 39p, 25j (12-3-10), 3s (48-45)
9) A872608DB06A3C98BAC33F9F6C96BA, 38p, 30j (11-5-14), -1s (64-65)
10) B374036C38E23F7F9AD5A8B83DC7C6, 36p, 30j (10-6-14), -11s (59-70)
11) 03B2624D8BA532CCAAE2C012F4667F, 34p, 29j (9-7-13), -6s (51-57)
12) 5C04F4ABF41A3024BD6EBA74BBB65B, 33p, 23j (10-3-10), -1s (39-40)
13) 0CA1A32773CE365EB0C06CDFA443F6, 32p, 24j (10-2-12), -4s (50-54)
14) 0F1A00B136413265AC180B277D380B, 31p, 32j (7-10-15), -20s (53-73)
15) 378A41E76BF5369CAEDC11E99479A6, 29p, 25j (8-5-12), -12s (44-56)
16) BEB0FFFF7FC23215A969432D39318E, 22p, 22j (6-4-12), -12s (36-48)

1125BBC9-4EF3-352E-9E1E-8693CEEE4C9B
1) 84EB90C144603247822DBCFFBA0894, 110p, 58j (34-8-16), 34s (129-95)
2) 62FCF5E85C683517B2E701D205AC7A, 105p, 66j (30-15-21), 10s (138-128)
3) DDC1F1D4E0C63825BEDDEA677A2641, 95p, 64j (28-11-25), 19s (134-115)
4) 9C73A102666533B488314D64C383BA, 93p, 65j (29-6-30), -2s (127-129)
5) A27FF4C7AD343ECF9CBE1B5E10BEF8, 85p, 63j (24-13-26), 11s (134-123)
6) 4FFD767828FD3E7D9544AE494E71DE, 79p, 59j (23-10-26), -15s (116-131)
7) E32E81386C203BADB8F652DEE5EFB2, 76p, 58j (23-7-28), -14s (102-116)
8) 98F50CC276A53DBE92CE09470DFE12, 75p, 62j (22-9-31), -11s (121-132)
9) 6CBC07A3DC373696A56B9475BAE1C4, 70p, 49j (21-7-21), -6s (105-111)
10) 77845979F03C33679F38289D67998A, 57p, 50j (17-6-27), -26s (88-114)

7D3C63ED-0D7A-3588-B095-49019A970DBA
1) 3C55E0191EB537918699502DDBA481, 147p, 93j (43-18-32), 25s (196-171)
2) 1614AE8C03F53B029810A89F9ED587, 141p, 72j (41-18-13), 52s (162-110)
3) 3E7CEBE9FCB033F08ACE4BF455A362, 130p, 92j (35-25-32), 13s (175-162)
4) 0C8C150ADE8B370888301D8E35044E, 127p, 93j (36-19-38), -16s (182-198)
5) C8B77A59C0FB3CE1BA48E929682E6D, 126p, 95j (33-27-35), 6s (186-180)
6) 595F3C8B59493ED896061A6FAD8712, 125p, 84j (36-17-31), -1s (171-172)
7) 7BC2687DC6B93B20B82796B9E7FAE9, 125p, 84j (34-23-27), 5s (162-157)
8) 4154148BA79D3506805747595CD0EF, 123p, 86j (36-15-35), -3s (173-176)
9) 6C0A6A194272385F8298953A71BDAD, 121p, 87j (36-13-38), -1s (174-175)
10) D15FC6EC1CB63A36B007B7C02BDAA9, 120p, 78j (34-18-26), 30s (173-143)
11) 430CCA7722E43E329AC3807401A403, 112p, 73j (32-16-25), 13s (163-150)
12) BC0693871C3F3D388781347F1E63BB, 110p, 93j (29-23-41), -24s (170-194)
13) CE31576DB2CD31F0BA829DEA471A56, 109p, 81j (30-19-32), 0s (151-151)
14) 2F9E0A3992A836B3BCCA672799625D, 108p, 86j (29-21-36), -8s (147-155)
15) 3444F75676DD3DC9B1DD63E09CA00A, 106p, 75j (31-13-31), 8s (157-149)
16) 500870248F3638B6B07D31C2479DF3, 104p, 80j (31-11-38), -31s (141-172)
17) 6072832DD22734C38205E5A3DD96CE, 102p, 93j (27-21-45), -21s (174-195)
18) 9E0E269A7F1233338E8EAB9E249A5E, 100p, 79j (27-19-33), -22s (119-141)
19) 339F0DAF692537DDAEFAC089124A08, 99p, 73j (27-18-28), 0s (138-138)
20) 8C53C517F28A32B79E8762A656B6DE, 92p, 74j (26-14-34), -9s (133-142)
21) B1E8CF3239D83D59A89D91ABFA01E0, 86p, 65j (24-14-27), -16s (129-145)

0A02D590-53FE-301A-86A7-49D7BBE3C77F
1) 9B3BDF8AF90E37A2A4E456B2B18E5A, 115p, 81j (32-19-30), -2s (155-157)
2) 1AEA552D2F3236CB8B3C5DAEBDAFAB, 108p, 77j (30-18-29), -3s (160-163)
3) FADFD8F1049035509FCA0AFC023F4C, 106p, 75j (29-19-27), 11s (156-145)
4) 7D13C25D68EC3B26A2FA236CE1FCD5, 93p, 59j (26-15-18), 23s (134-111)
5) B5E44034EE4F37D0AE407AFDFF03E9, 88p, 65j (25-13-27), -6s (125-131)
6) F55E4D71AF0A34B9BD63F3612D5EF9, 88p, 65j (24-16-25), -15s (121-136)
7) 56432BD857EB3622AC11A465DA1B9A, 88p, 67j (23-19-25), -3s (127-130)
8) B32CCBC7574B30B6B1F3B3D9B0DB27, 86p, 61j (25-11-25), 0s (132-132)
9) DE429FEA86003AD29061421A33D933, 82p, 64j (22-16-26), -7s (111-118)
10) 70954A26E960398B808CF117405021, 78p, 54j (20-18-16), 20s (105-85)
11) 663F99CAD19932C4B08ABD0080CDDF, 68p, 56j (20-8-28), -18s (101-119)

65E28286-A1CC-344C-8491-BECF2613F3BB
1) A45F5260099937A0896B2A8DE73ED9, 37p, 17j (11-4-2), 23s (51-28)
2) 9333545AF47B351A8B8FB4AC29050F, 32p, 15j (10-2-3), 13s (40-27)
3) A3A6F7A7FB093778BD714FF2B5D922, 28p, 14j (9-1-4), 12s (28-16)
4) 981634EF46D83E029C5FF307C460E9, 27p, 18j (8-3-7), 4s (35-31)
5) 8F8DA7C15BD6301ABA47187CB740A7, 26p, 14j (8-2-4), 6s (31-25)
6) 840D348C6F1E308CA7927B9E42039A, 24p, 12j (8-0-4), 10s (29-19)
7) 9B5C8962826F31169D029248F2AAAB, 22p, 16j (7-1-8), -4s (27-31)
8) FE64C02A222D324085A54BFF5778CB, 21p, 15j (6-3-6), -4s (34-38)
9) 88A717DC54CA30A18EAB0A99CD3692, 20p, 14j (6-2-6), 1s (36-35)
10) 29FBD6690CC5389DBA605FE9C64023, 19p, 9j (6-1-2), 12s (23-11)
11) 05940B9936D234E99D7DB67D6F9FC7, 19p, 13j (6-1-6), 1s (32-31)
12) 0758F06735D031CDA252D56872755A, 19p, 12j (5-4-3), 1s (24-23)
13) F4F0771309503B4DB4CAF6FFEC6A57, 18p, 10j (6-0-4), -4s (19-23)
14) 6A976B70BFE83716873CEF967A9EBD, 16p, 12j (5-1-6), 2s (26-24)
15) 335D602233C23A728B295981C40C28, 16p, 10j (5-1-4), 1s (23-22)
16) 54465CBD1E27380D8AD8C56C8C0503, 16p, 11j (5-1-5), 0s (21-21)
17) 0A7876972D6930259FB0DCFE391EFF, 16p, 14j (5-1-8), -8s (26-34)
18) 1B5F7D86AA6034929D9EDFAA7E4757, 14p, 14j (4-2-8), -9s (23-32)
19) 6C9C42CFC4063C7C8676451C4364B5, 13p, 8j (4-1-3), 0s (18-18)
20) AE2A9B243B143F0D8A71FF62BA7868, 13p, 16j (3-4-9), -14s (20-34)
21) 17F4B3114807322DA324347426DDA9, 12p, 13j (4-0-9), -9s (24-33)
22) F3A6D58C364033819DC4DC69BDA50E, 12p, 12j (3-3-6), -7s (22-29)
23) C811EC236A4933D88E3B8FD2B2D87B, 11p, 6j (3-2-1), 6s (14-8)
24) 95DE1B3D15943430AEC51E4D8F7BA4, 9p, 8j (3-0-5), -5s (14-19)
25) DC86D562A5023BE4976DBE4A0CCA97, 9p, 11j (2-3-6), -5s (30-35)
26) DF96B035C6533EC099F0D3E962571E, 9p, 15j (2-3-10), -11s (22-33)
27) 668FA5533C6332A099ECEB45037171, 6p, 5j (2-0-3), -1s (8-9)
28) 03F7D69287FD361296F0BE69F56B43, 6p, 8j (2-0-6), -11s (14-25)

D4DA9255-A45E-3550-A018-996865DEA2A7
1) 24EEDCAD75663625AEACAC80834802, 74p, 46j (22-8-16), 1s (90-89)
2) 0C811EC1B6993CBF9E70C8AA1C0279, 71p, 44j (21-8-15), 8s (86-78)
3) CB005B5ABA9D3AC9B5C36FD5825F99, 67p, 43j (20-7-16), -4s (90-94)
4) 5037A218EB773B5B82645BE1DD0387, 66p, 46j (18-12-16), 1s (96-95)
5) FF25A89E673631B2AB1605A2380C9A, 62p, 41j (18-8-15), 3s (81-78)
6) DC4F00AB55B733EFA467C8C957CC2C, 57p, 43j (16-9-18), 6s (92-86)
7) 59D6F22C3F2B3A1D8F888E0D5FF7BB, 57p, 39j (15-12-12), 8s (79-71)
8) 50C42AE78A3E3BC68C6C7C53397FC8, 55p, 41j (16-7-18), -6s (79-85)
9) 2A6542FDCBAB31DB802F81FE8386A4, 55p, 41j (14-13-14), 2s (77-75)
10) 2FBA181A2AB433C08045D3D8BE1B69, 54p, 40j (15-9-16), -2s (69-71)
11) 178BB075DD4836999250DD9C422A34, 51p, 51j (15-6-30), -23s (84-107)
12) 0A668FCBC47935A8BE7CD0B502868A, 51p, 41j (14-9-18), 6s (80-74)

3B62515B-FC12-3643-8591-164419CDE536
1) ACF58DA6BD133712B8DCCEF503B085, 142p, 73j (44-10-19), 64s (183-119)
2) 114BD85870CF3277A78201C8CC960F, 128p, 90j (35-23-32), -16s (180-196)
3) 4F683B00B109373D98521586E954F9, 121p, 70j (39-4-27), 32s (143-111)
4) 64C45C4DC8513A838157C3234CF19B, 118p, 82j (34-16-32), -1s (166-167)
5) B6CB417DBF3F3F37841CFD4E1F6827, 109p, 66j (34-7-25), 14s (142-128)
6) 23F02C7A98963496A82358CAE04D45, 103p, 66j (31-10-25), -2s (138-140)
7) BFE4AAC031DC393B9D94E183E15870, 102p, 70j (30-12-28), -5s (142-147)
8) 2C5D17BE366C3E7B8EE57D014C2FF6, 99p, 68j (28-15-25), -6s (131-137)
9) DEBBD25B9EDF39DF8D550CDBF68596, 98p, 68j (30-8-30), -2s (139-141)
10) A028AB18B907334A889B3AC27EA841, 95p, 71j (27-14-30), -3s (143-146)
11) 7EE8B378055930DB9241307D5DAC63, 93p, 72j (25-18-29), 13s (144-131)
12) E7577DD55C193E298D2D730E532EC5, 92p, 68j (26-14-28), 5s (132-127)
13) 06092A5C13C7309E83562A63812232, 92p, 71j (26-14-31), -11s (144-155)
14) F12FB614E3A03787BF252DE9AA631A, 91p, 69j (27-10-32), -17s (128-145)
15) 3269739A147933728CE514939996D1, 88p, 62j (25-13-24), 13s (140-127)
16) B9146959DCE239A48B89AC3C2A1E21, 82p, 73j (21-19-33), -38s (127-165)
17) 0282EE09488D37169F848E5E2103E1, 80p, 59j (24-8-27), 5s (121-116)
18) 0587B492B49F358EA33ADC25CC6A16, 76p, 66j (23-7-36), -26s (119-145)
19) A6B3FE2ED41F3F45934A7189309E73, 65p, 64j (17-14-33), -19s (126-145)

AA738AC0-4590-30A9-9140-E485D20C2E6A
1) A0630BD40D4F3377984A760F96110A, 59p, 33j (19-2-12), 25s (78-53)
2) 3B7491F9D3BC30C8859FECDFF2E019, 57p, 34j (17-6-11), 13s (91-78)
3) 5E8476E5F281389685E0F5045FB9B7, 57p, 40j (16-9-15), 2s (92-90)
4) 810FF311DE70354BA20EC343332374, 51p, 30j (15-6-9), 15s (61-46)
5) EA5BB9BA27093E7DA0AFDB3A19DACC, 51p, 30j (15-6-9), 13s (70-57)
6) 83595AE63872314BB9CCC6FBA3201D, 51p, 29j (15-6-8), 7s (64-57)
7) 828EDFB4B75B30B98D57CFB32DE8C3, 50p, 25j (15-5-5), 24s (65-41)
8) DFD601B67274377BA808354389E4A5, 49p, 29j (15-4-10), 15s (65-50)
9) AD8826F932D738769D8EF6CEBC72B8, 49p, 34j (15-4-15), -3s (67-70)
10) 2653E8D1A1653CBFBCF09949632EC2, 49p, 42j (12-13-17), -10s (80-90)
11) 642B297447A83490BF79BFEDC8CB3E, 48p, 28j (14-6-8), 10s (60-50)
12) EAA21F00FD073FACBF50E145A6B096, 48p, 32j (13-9-10), 7s (74-67)
13) 9929D7A5230B3A269E47A3CFA9270E, 45p, 26j (12-9-5), 15s (62-47)
14) DB1131F8590B38B5AB37785A87B175, 42p, 33j (12-6-15), -7s (58-65)
15) B3D3AE75637B3108B0C20ED5FB1C41, 42p, 35j (12-6-17), -8s (62-70)
16) D9E12A9E71B239F098D0F7B58365B7, 42p, 35j (12-6-17), -8s (61-69)
17) 23F9B10F275237B98FE83A6BC705A9, 40p, 32j (11-7-14), -11s (54-65)
18) C6BF907C2AC13FD98B4D95D62D7E89, 39p, 32j (11-6-15), -17s (59-76)
19) 231DA02784A63B3EB7768FCA0C3362, 38p, 29j (11-5-13), -13s (52-65)
20) 60EC629587BF3415A54FD1D1C1BCA4, 36p, 31j (10-6-15), -11s (64-75)
21) 9D289D3C754E3DCAB5175FD3367238, 34p, 23j (11-1-11), 12s (49-37)
22) 7A590A1DEFD837339B538118F546BB, 33p, 25j (9-6-10), -3s (51-54)
23) E808C392D9043D38AC8911C7FCE4A2, 33p, 31j (9-6-16), -15s (51-66)
24) FE04D983180F341CA368A0BDEBF2DC, 31p, 23j (9-4-10), -3s (41-44)
25) 6CD5AB84E42F3476B6E0E26B1892E9, 31p, 24j (8-7-9), -2s (54-56)
26) B00B2648D6E6308992EAF6E29E6B0F, 26p, 20j (7-5-8), 3s (41-38)
27) 885A972B15BB3156A04184718EB0AA, 19p, 22j (5-4-13), -13s (35-48)
28) 70745C970F8B3F84962A469716D1EF, 19p, 27j (5-4-18), -37s (33-70)

A064D701-1977-3976-9E1E-059750297DB9
1) F36C3770B31332B8ADA249392386EB, 163p, 110j (48-19-43), 10s (224-214)
2) 1DF775C5C52D38D482A0412FA741CC, 163p, 107j (46-25-36), 13s (210-197)
3) 30D3A2F2B60F326699B14BD7F580FF, 160p, 102j (47-19-36), -5s (197-202)
4) 802391F626753B2A8BAEDC68AC1F3B, 156p, 105j (46-18-41), 16s (218-202)
5) 0AADCB0ED6653D5CADE998F6367BBD, 156p, 107j (42-30-35), 20s (226-206)
6) 79ACDB9A328A3B9FAD53AB0FECE4DC, 153p, 108j (44-21-43), 4s (222-218)
7) EC665424BA7E38A3B7BC098A682FDE, 151p, 89j (45-16-28), 43s (194-151)
8) FBAC2490884333C7AE08F5019CDD87, 146p, 99j (43-17-39), 10s (201-191)
9) 1F06C0644D5B3D1889771E788C262D, 142p, 98j (41-19-38), 14s (223-209)
10) F51320683096392BB2A2D9D01F657D, 140p, 100j (40-20-40), -7s (212-219)
11) E1804831072830D1B653277D9D7015, 132p, 98j (40-12-46), -6s (206-212)
12) DB6F0D6C1EE63AA7BA9F333A9C84AF, 132p, 111j (36-24-51), -27s (195-222)
13) EFFFBE3FABE735F6A5DC86EF676BCF, 130p, 90j (36-22-32), 10s (193-183)
14) F38E92FD70A63FD2BE6797E23C6728, 128p, 96j (36-20-40), -4s (186-190)
15) CA24B932297C375E879DCFDEFC0A1A, 127p, 102j (34-25-43), -18s (184-202)
16) 6C3E519AA1C03F21B16F2AA59026F0, 125p, 93j (35-20-38), -13s (165-178)
17) 6FA9189B684E3E06A750AE04F3ECCC, 125p, 104j (35-20-49), -42s (177-219)
18) 8BC7D94204063947B9A127AED6DA91, 117p, 86j (35-12-39), 1s (164-163)
19) A4D88537F6AF36A1A459FC1F3F6ECC, 112p, 93j (31-19-43), -19s (186-205)

9660A01B-6532-3573-A4FF-04014750CBE8
1) 23C28E30DED53E04BD46CF4BE6F212, 30p, 13j (9-3-1), 14s (36-22)
2) F86011E2D1B03BF4BDF4F04E9BB8DB, 27p, 17j (8-3-6), 0s (33-33)
3) D9B380CD60E337DFA3018C45DE8D52, 26p, 18j (7-5-6), 6s (37-31)
4) F7B85B24EAAE3E539D50A719356BCD, 23p, 15j (6-5-4), 2s (26-24)
5) ED7308EC494C32AA9F9F73F40E7639, 22p, 15j (7-1-7), 1s (32-31)
6) 98F31B1E88E33FCEBA4417486D8373, 20p, 15j (6-2-7), -1s (26-27)
7) 9F7C8F9342E43D5F9860F868C5CC3B, 17p, 10j (5-2-3), 10s (22-12)
8) 126F233F79D3314EBADB27C63AAB8C, 17p, 12j (4-5-3), -1s (19-20)
9) 51B84D8403523839ADC1FACF6F98BE, 16p, 9j (5-1-3), 3s (21-18)
10) C422116F314E3974BF643C7D5FD70A, 16p, 13j (5-1-7), -5s (22-27)
11) D3F81014E19334AAB25024B64AC65A, 16p, 13j (4-4-5), -1s (35-36)
